Best Score, SEED, HMIN, HMAX, T, TMAX, MMAX, alpha, beta, gamma, LAMBDA
8.4364, 1070186, 4, 5, 1741, 2355, 5196, 3.58545, 0.906725, 0.160829, 15
8.31249, 1070187, 6, 7, 4839, 5561, 13792, 1.57117, 0.170987, 0.97526, 8
8.15311, 1070188, 6, 6, 2969, 7481, 14463, 1.52774, 0.51968, 0.211843, 10
8.28486, 1070189, 6, 6, 1394, 3948, 4876, 1.96377, 0.271985, 0.342308, 18
8.26442, 1070190, 5, 5, 790, 2274, 3009, 2.03962, 0.496236, 0.612246, 20
8.61045, 1070191, 3, 3, 194, 302, 355, 1.10205, 0.947156, 0.181141, 8
8.3547, 1070192, 4, 5, 1169, 1812, 2394, 2.03252, 0.117395, 0.921512, 16
8.31814, 1070193, 4, 5, 1135, 2299, 3990, 3.15822, 0.710376, 0.025887, 18
8.22112, 1070194, 3, 6, 6192, 17421, 31714, 1.16696, 0.868222, 0.676988, 12
8.48712, 1070195, 4, 4, 469, 512, 1063, 1.30955, 0.819331, 0.595922, 4
8.14247, 1070196, 3, 6, 5959, 10045, 15599, 2.49337, 0.75981, 0.621605, 13
8.43162, 1070197, 5, 5, 1274, 3224, 3935, 3.98332, 0.780326, 0.574447, 13
8.25468, 1070198, 6, 6, 2542, 5872, 7350, 1.20204, 0.433235, 0.600756, 17
8.18724, 1070199, 4, 7, 7105, 17252, 25860, 3.5349, 0.126234, 0.401797, 18
8.19026, 1070200, 3, 6, 4211, 8417, 21634, 2.36327, 0.194301, 0.113977, 14
8.43405, 1070201, 5, 5, 1359, 3709, 10097, 2.61094, 0.525448, 0.798612, 6
8.22085, 1070202, 3, 6, 3583, 9435, 16476, 3.17829, 0.142449, 0.0458362, 9
8.19677, 1070203, 3, 7, 14316, 31054, 67984, 3.36538, 0.0048551, 0.445939, 14
8.15767, 1070204, 3, 7, 10179, 11738, 34227, 3.82451, 0.210787, 0.0530952, 5
8.36701, 1070205, 4, 5, 1147, 1248, 1310, 3.79082, 0.0730096, 0.0234499, 10
8.1771, 1070206, 6, 6, 3813, 6185, 7487, 2.12507, 0.0971964, 0.126911, 12
8.46969, 1070207, 4, 4, 359, 811, 2235, 1.15469, 0.114369, 0.408142, 12
8.13345, 1070208, 7, 7, 6777, 8894, 20555, 1.8812, 0.732197, 0.0299428, 5
8.3436, 1070209, 3, 5, 2079, 2521, 3897, 1.09849, 0.092447, 0.663581, 14
8.27718, 1070210, 3, 6, 4933, 14766, 33695, 2.15311, 0.624207, 0.102475, 6
8.0987, 1070211, 4, 6, 5049, 12673, 16530, 1.7128, 0.997699, 0.579168, 14
8.28654, 1070212, 4, 7, 9374, 14293, 24523, 1.52813, 0.860471, 0.0471438, 18
8.23399, 1070213, 3, 7, 13834, 36658, 108995, 2.52733, 0.875648, 0.840454, 18
8.31816, 1070214, 5, 5, 1740, 2203, 5654, 3.92385, 0.171163, 0.698157, 13
